reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
11,30,7,0,0,0,0,18.90819129999727,19.717546200030483,19.717546200030483,19.91787020000629,l,4.131880100001581,debolina,001,2022-11-03_23h02.49.454,Debolina,2022.2.2,59.90592376022441,
67,75,119,0,1,1,5,23.88207729998976,24.86723630002234,24.86723630002234,24.884154099971056,t,3.2279468999477103,debolina,001,2022-11-03_23h02.49.454,Debolina,2022.2.2,59.90592376022441,
78,80,162,0,2,2,6,28.11649549996946,29.116736500058323,29.116736500058323,29.116736500058323,t,2.6056005000136793,debolina,001,2022-11-03_23h02.49.454,Debolina,2022.2.2,59.90592376022441,
40,55,62,0,3,3,3,31.749722399981692,32.74962829996366,32.74962829996366,32.74962829996366,t,3.538819000008516,debolina,001,2022-11-03_23h02.49.454,Debolina,2022.2.2,59.90592376022441,
27,50,21,0,4,4,2,36.315521299955435,37.3158099000575,37.3158099000575,37.3158099000575,l,2.7581779999891296,debolina,001,2022-11-03_23h02.49.454,Debolina,2022.2.2,59.90592376022441,
49,60,89,0,5,5,4,40.0983124000486,41.09838340000715,41.09838340000715,41.09838340000715,t,5.040746900020167,debolina,001,2022-11-03_23h02.49.454,Debolina,2022.2.2,59.90592376022441,
15,35,13,0,6,6,1,46.16439289995469,47.16426330001559,47.16426330001559,47.16426330001559,l,2.9909616999793798,debolina,001,2022-11-03_23h02.49.454,Debolina,2022.2.2,59.90592376022441,
